task,model,correction,semantic_similarity
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.6125432
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.43469065
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.6208396
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.50293815
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.41087168
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.53027165
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.4582598
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.4742634
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.6273278
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5325155
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5865279
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.41508406
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.630764
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.63237256
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.42559212
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5868799
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.58267856
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.6391758
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.34414285
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.41603863
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5029595
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.6024847
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.62438625
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5960583
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.49488875
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.626544
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.50211656
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5242651
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.408646
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5446181
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.49371654
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.7188821
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5408164
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.43789458
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.57190216
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.42682582
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.6033953
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.48236108
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.3725588
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.48914292
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.33814806
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5622412
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.6182039
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5190046
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.56872654
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.38535202
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5759213
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.6392463
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.41134322
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5822534
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5987344
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.5641195
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.31940973
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.4630147
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.46577877
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.61113024
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.59686065
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.56828403
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.45699185
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.64630693
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.458832
storytelling,huggingface/tiiuae/falcon-7b-instruct,baseline,0.44306323
storytelling,lambda/lambda-llama2-13b,baseline,0.50321555
storytelling,lambda/lambda-llama2-13b,baseline,0.5842548
storytelling,lambda/lambda-llama2-13b,baseline,0.55442
storytelling,lambda/lambda-llama2-13b,baseline,0.70959353
storytelling,lambda/lambda-llama2-13b,baseline,0.5938126
storytelling,lambda/lambda-llama2-13b,baseline,0.46052295
storytelling,lambda/lambda-llama2-13b,baseline,0.59682226
storytelling,lambda/lambda-llama2-13b,baseline,0.5135792
storytelling,lambda/lambda-llama2-13b,baseline,0.66353095
storytelling,lambda/lambda-llama2-13b,baseline,0.50011694
storytelling,lambda/lambda-llama2-13b,baseline,0.24084523
storytelling,lambda/lambda-llama2-13b,baseline,0.5872137
storytelling,lambda/lambda-llama2-13b,baseline,0.41009498
storytelling,lambda/lambda-llama2-13b,baseline,0.49315292
storytelling,lambda/lambda-llama2-13b,baseline,0.6217003
storytelling,lambda/lambda-llama2-13b,baseline,0.5401187
storytelling,lambda/lambda-llama2-13b,baseline,0.51289177
storytelling,lambda/lambda-llama2-13b,baseline,0.42808664
storytelling,lambda/lambda-llama2-13b,baseline,0.5944015
storytelling,lambda/lambda-llama2-13b,baseline,0.6220756
storytelling,lambda/lambda-llama2-13b,baseline,0.4174967
storytelling,lambda/lambda-llama2-13b,baseline,0.57090783
storytelling,lambda/lambda-llama2-13b,baseline,0.598444
storytelling,lambda/lambda-llama2-13b,baseline,0.63902545
storytelling,lambda/lambda-llama2-13b,baseline,0.3811921
storytelling,lambda/lambda-llama2-13b,baseline,0.34162736
storytelling,lambda/lambda-llama2-13b,baseline,0.4943146
storytelling,lambda/lambda-llama2-13b,baseline,0.5555606
storytelling,lambda/lambda-llama2-13b,baseline,0.5263083
storytelling,lambda/lambda-llama2-13b,baseline,0.5828297
storytelling,lambda/lambda-llama2-13b,baseline,0.4660243
storytelling,lambda/lambda-llama2-13b,baseline,0.61812264
storytelling,lambda/lambda-llama2-13b,baseline,0.44853914
storytelling,lambda/lambda-llama2-13b,baseline,0.5215828
storytelling,groq/llama3-70b,baseline,0.53203934
storytelling,groq/llama3-70b,baseline,0.59453857
storytelling,groq/llama3-70b,baseline,0.61424273
storytelling,groq/llama3-70b,baseline,0.7195886
storytelling,groq/llama3-70b,baseline,0.6256949
storytelling,groq/llama3-70b,baseline,0.49656102
storytelling,groq/llama3-70b,baseline,0.65159786
storytelling,groq/llama3-70b,baseline,0.53772116
storytelling,groq/llama3-70b,baseline,0.67024934
storytelling,groq/llama3-70b,baseline,0.5207336
storytelling,groq/llama3-70b,baseline,0.29377142
storytelling,groq/llama3-70b,baseline,0.59006345
storytelling,groq/llama3-70b,baseline,0.43752182
storytelling,groq/llama3-70b,baseline,0.5706056
storytelling,groq/llama3-70b,baseline,0.6638057
storytelling,groq/llama3-70b,baseline,0.5582996
storytelling,groq/llama3-70b,baseline,0.5782366
storytelling,groq/llama3-70b,baseline,0.49475685
storytelling,groq/llama3-70b,baseline,0.57384145
storytelling,groq/llama3-70b,baseline,0.67301667
storytelling,groq/llama3-70b,baseline,0.5749858
storytelling,groq/llama3-70b,baseline,0.56430495
storytelling,groq/llama3-70b,baseline,0.6300661
storytelling,groq/llama3-70b,baseline,0.6287199
storytelling,groq/llama3-70b,baseline,0.3711881
storytelling,groq/llama3-70b,baseline,0.451921
storytelling,groq/llama3-70b,baseline,0.5115226
storytelling,groq/llama3-70b,baseline,0.5486789
storytelling,groq/llama3-70b,baseline,0.5737049
storytelling,groq/llama3-70b,baseline,0.64139354
storytelling,groq/llama3-70b,baseline,0.6169971
storytelling,groq/llama3-70b,baseline,0.6035733
storytelling,groq/llama3-70b,baseline,0.5050829
storytelling,groq/llama3-70b,baseline,0.57905954
storytelling,gemini/gemini-pro,baseline,0.42793405
storytelling,gemini/gemini-pro,baseline,0.50625515
storytelling,gemini/gemini-pro,baseline,0.49985343
storytelling,gemini/gemini-pro,baseline,0.7462114
storytelling,gemini/gemini-pro,baseline,0.5342611
storytelling,gemini/gemini-pro,baseline,0.40962288
storytelling,gemini/gemini-pro,baseline,0.54873514
storytelling,gemini/gemini-pro,baseline,0.46810803
storytelling,gemini/gemini-pro,baseline,0.62616515
storytelling,gemini/gemini-pro,baseline,0.50908446
storytelling,gemini/gemini-pro,baseline,0.39601853
storytelling,gemini/gemini-pro,baseline,0.51029545
storytelling,gemini/gemini-pro,baseline,0.45448053
storytelling,gemini/gemini-pro,baseline,0.6385654
storytelling,gemini/gemini-pro,baseline,0.6256502
storytelling,gemini/gemini-pro,baseline,0.5786822
storytelling,gemini/gemini-pro,baseline,0.5899954
storytelling,gemini/gemini-pro,baseline,0.41376626
storytelling,gemini/gemini-pro,baseline,0.53651214
storytelling,gemini/gemini-pro,baseline,0.6504626
storytelling,gemini/gemini-pro,baseline,0.4498548
storytelling,gemini/gemini-pro,baseline,0.58466315
storytelling,gemini/gemini-pro,baseline,0.54865074
storytelling,gemini/gemini-pro,baseline,0.63940895
storytelling,gemini/gemini-pro,baseline,0.3679341
storytelling,gemini/gemini-pro,baseline,0.43691283
storytelling,gemini/gemini-pro,baseline,0.49572802
storytelling,gemini/gemini-pro,baseline,0.6132841
storytelling,gemini/gemini-pro,baseline,0.59460676
storytelling,gemini/gemini-pro,baseline,0.6432128
storytelling,gemini/gemini-pro,baseline,0.55718637
storytelling,gemini/gemini-pro,baseline,0.58851635
storytelling,gemini/gemini-pro,baseline,0.54013145
storytelling,gemini/gemini-pro,baseline,0.54479766
storytelling,mistral/mistral-small,baseline,0.47471908
storytelling,mistral/mistral-small,baseline,0.64677334
storytelling,mistral/mistral-small,baseline,0.6058018
storytelling,mistral/mistral-small,baseline,0.79597306
storytelling,mistral/mistral-small,baseline,0.7100731
storytelling,mistral/mistral-small,baseline,0.5206089
storytelling,mistral/mistral-small,baseline,0.6300566
storytelling,mistral/mistral-small,baseline,0.5537406
storytelling,mistral/mistral-small,baseline,0.6763227
storytelling,mistral/mistral-small,baseline,0.5905974
storytelling,mistral/mistral-small,baseline,0.39241356
storytelling,mistral/mistral-small,baseline,0.59649676
storytelling,mistral/mistral-small,baseline,0.50619215
storytelling,mistral/mistral-small,baseline,0.57701397
storytelling,mistral/mistral-small,baseline,0.641495
storytelling,mistral/mistral-small,baseline,0.6299603
storytelling,mistral/mistral-small,baseline,0.68904895
storytelling,mistral/mistral-small,baseline,0.45123175
storytelling,mistral/mistral-small,baseline,0.63286483
storytelling,mistral/mistral-small,baseline,0.6616482
storytelling,mistral/mistral-small,baseline,0.528847
storytelling,mistral/mistral-small,baseline,0.63988364
storytelling,mistral/mistral-small,baseline,0.6404347
storytelling,mistral/mistral-small,baseline,0.6393018
storytelling,mistral/mistral-small,baseline,0.42042506
storytelling,mistral/mistral-small,baseline,0.45411935
storytelling,mistral/mistral-small,baseline,0.5357114
storytelling,mistral/mistral-small,baseline,0.6546482
storytelling,mistral/mistral-small,baseline,0.64438355
storytelling,mistral/mistral-small,baseline,0.65855676
storytelling,mistral/mistral-small,baseline,0.60846096
storytelling,mistral/mistral-small,baseline,0.6340319
storytelling,mistral/mistral-small,baseline,0.6195718
storytelling,mistral/mistral-small,baseline,0.5803963
storytelling,mistral/mistral-medium,baseline,0.50149196
storytelling,mistral/mistral-medium,baseline,0.6230047
storytelling,mistral/mistral-medium,baseline,0.6065943
storytelling,mistral/mistral-medium,baseline,0.80429137
storytelling,mistral/mistral-medium,baseline,0.69976175
storytelling,mistral/mistral-medium,baseline,0.50752234
storytelling,mistral/mistral-medium,baseline,0.64844644
storytelling,mistral/mistral-medium,baseline,0.5364645
storytelling,mistral/mistral-medium,baseline,0.670496
storytelling,mistral/mistral-medium,baseline,0.57931817
storytelling,mistral/mistral-medium,baseline,0.43475863
storytelling,mistral/mistral-medium,baseline,0.5954193
storytelling,mistral/mistral-medium,baseline,0.43833968
storytelling,mistral/mistral-medium,baseline,0.58743703
storytelling,mistral/mistral-medium,baseline,0.67038596
storytelling,mistral/mistral-medium,baseline,0.6276562
storytelling,mistral/mistral-medium,baseline,0.6739491
storytelling,mistral/mistral-medium,baseline,0.42348832
storytelling,mistral/mistral-medium,baseline,0.6371646
storytelling,mistral/mistral-medium,baseline,0.655272
storytelling,mistral/mistral-medium,baseline,0.53390664
storytelling,mistral/mistral-medium,baseline,0.64662564
storytelling,mistral/mistral-medium,baseline,0.6180314
storytelling,mistral/mistral-medium,baseline,0.63291526
storytelling,mistral/mistral-medium,baseline,0.3954461
storytelling,mistral/mistral-medium,baseline,0.43193763
storytelling,mistral/mistral-medium,baseline,0.55636334
storytelling,mistral/mistral-medium,baseline,0.6612154
storytelling,mistral/mistral-medium,baseline,0.6701452
storytelling,mistral/mistral-medium,baseline,0.6806478
storytelling,mistral/mistral-medium,baseline,0.62320375
storytelling,mistral/mistral-medium,baseline,0.614347
storytelling,mistral/mistral-medium,baseline,0.6378435
storytelling,mistral/mistral-medium,baseline,0.572184
storytelling,openai/gpt-3.5-turbo,voting,0.5643467
storytelling,openai/gpt-3.5-turbo,voting,0.5491884
storytelling,openai/gpt-3.5-turbo,voting,0.62560844
storytelling,openai/gpt-3.5-turbo,voting,0.7890208
storytelling,openai/gpt-3.5-turbo,voting,0.6255298
storytelling,openai/gpt-3.5-turbo,voting,0.49786288
storytelling,openai/gpt-3.5-turbo,voting,0.6805926
storytelling,openai/gpt-3.5-turbo,voting,0.5887914
storytelling,openai/gpt-3.5-turbo,voting,0.6881045
storytelling,openai/gpt-3.5-turbo,voting,0.48525253
storytelling,openai/gpt-3.5-turbo,voting,0.35189182
storytelling,openai/gpt-3.5-turbo,voting,0.6553975
storytelling,openai/gpt-3.5-turbo,voting,0.43827346
storytelling,openai/gpt-3.5-turbo,voting,0.5781907
storytelling,openai/gpt-3.5-turbo,voting,0.71668476
storytelling,openai/gpt-3.5-turbo,voting,0.55189776
storytelling,openai/gpt-3.5-turbo,voting,0.6526676
storytelling,openai/gpt-3.5-turbo,voting,0.36388007
storytelling,openai/gpt-3.5-turbo,voting,0.63591313
storytelling,openai/gpt-3.5-turbo,voting,0.7539032
storytelling,openai/gpt-3.5-turbo,voting,0.52803254
storytelling,openai/gpt-3.5-turbo,voting,0.6655582
storytelling,openai/gpt-3.5-turbo,voting,0.63696826
storytelling,openai/gpt-3.5-turbo,voting,0.6248392
storytelling,openai/gpt-3.5-turbo,voting,0.40997952
storytelling,openai/gpt-3.5-turbo,voting,0.48519975
storytelling,openai/gpt-3.5-turbo,voting,0.5553987
storytelling,openai/gpt-3.5-turbo,voting,0.583084
storytelling,openai/gpt-3.5-turbo,voting,0.62627506
storytelling,openai/gpt-3.5-turbo,voting,0.6410694
storytelling,openai/gpt-3.5-turbo,voting,0.5136144
storytelling,openai/gpt-3.5-turbo,voting,0.6177115
storytelling,openai/gpt-3.5-turbo,voting,0.4462808
storytelling,openai/gpt-3.5-turbo,voting,0.57658625
storytelling,openai/gpt-4,voting,0.52707446
storytelling,openai/gpt-4,voting,0.57168853
storytelling,openai/gpt-4,voting,0.5899025
storytelling,openai/gpt-4,voting,0.7731763
storytelling,openai/gpt-4,voting,0.6226598
storytelling,openai/gpt-4,voting,0.5177356
storytelling,openai/gpt-4,voting,0.6829277
storytelling,openai/gpt-4,voting,0.5534221
storytelling,openai/gpt-4,voting,0.6532618
storytelling,openai/gpt-4,voting,0.52290696
storytelling,openai/gpt-4,voting,0.33185798
storytelling,openai/gpt-4,voting,0.63975024
storytelling,openai/gpt-4,voting,0.44220412
storytelling,openai/gpt-4,voting,0.55026656
storytelling,openai/gpt-4,voting,0.7009922
storytelling,openai/gpt-4,voting,0.5343876
storytelling,openai/gpt-4,voting,0.65748894
storytelling,openai/gpt-4,voting,0.40216622
storytelling,openai/gpt-4,voting,0.60960853
storytelling,openai/gpt-4,voting,0.7249438
storytelling,openai/gpt-4,voting,0.5414379
storytelling,openai/gpt-4,voting,0.631975
storytelling,openai/gpt-4,voting,0.63312435
storytelling,openai/gpt-4,voting,0.6621622
storytelling,openai/gpt-4,voting,0.42128217
storytelling,openai/gpt-4,voting,0.46517998
storytelling,openai/gpt-4,voting,0.55344826
storytelling,openai/gpt-4,voting,0.5592375
storytelling,openai/gpt-4,voting,0.59686184
storytelling,openai/gpt-4,voting,0.6275928
storytelling,openai/gpt-4,voting,0.500177
storytelling,openai/gpt-4,voting,0.59205115
storytelling,openai/gpt-4,voting,0.5315342
storytelling,openai/gpt-4,voting,0.6063427
storytelling,openai/gpt-4o,voting,0.53196836
storytelling,openai/gpt-4o,voting,0.56818414
storytelling,openai/gpt-4o,voting,0.5959622
storytelling,openai/gpt-4o,voting,0.78312254
storytelling,openai/gpt-4o,voting,0.63271314
storytelling,openai/gpt-4o,voting,0.51622176
storytelling,openai/gpt-4o,voting,0.6837565
storytelling,openai/gpt-4o,voting,0.5592154
storytelling,openai/gpt-4o,voting,0.6543154
storytelling,openai/gpt-4o,voting,0.52145404
storytelling,openai/gpt-4o,voting,0.33193916
storytelling,openai/gpt-4o,voting,0.6469684
storytelling,openai/gpt-4o,voting,0.44618624
storytelling,openai/gpt-4o,voting,0.5497265
storytelling,openai/gpt-4o,voting,0.696851
storytelling,openai/gpt-4o,voting,0.54014003
storytelling,openai/gpt-4o,voting,0.6642756
storytelling,openai/gpt-4o,voting,0.41310304
storytelling,openai/gpt-4o,voting,0.6130152
storytelling,openai/gpt-4o,voting,0.7286669
storytelling,openai/gpt-4o,voting,0.55093443
storytelling,openai/gpt-4o,voting,0.6371015
storytelling,openai/gpt-4o,voting,0.6427163
storytelling,openai/gpt-4o,voting,0.66088915
storytelling,openai/gpt-4o,voting,0.43191165
storytelling,openai/gpt-4o,voting,0.4689641
storytelling,openai/gpt-4o,voting,0.554717
storytelling,openai/gpt-4o,voting,0.5646167
storytelling,openai/gpt-4o,voting,0.60353595
storytelling,openai/gpt-4o,voting,0.63271856
storytelling,openai/gpt-4o,voting,0.5143783
storytelling,openai/gpt-4o,voting,0.59621537
storytelling,openai/gpt-4o,voting,0.51775765
storytelling,openai/gpt-4o,voting,0.6078067
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.4957274
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5186626
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.54848343
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.6292979
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5466986
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.38090718
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.6094775
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.49647567
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.59244627
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.46654257
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.3982144
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.43061107
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.40266275
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.49480635
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.62176824
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5152464
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5657637
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.44102597
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.59813935
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.62436527
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.4202931
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5602108
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.53845733
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.6347371
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.265263
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.43104303
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.51209676
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.566977
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.58090466
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5876539
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.49427015
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.54623276
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5181035
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5079985
storytelling,huggingface/tiiuae/falcon-7b-instruct,voting,0.5126575
storytelling,huggingface/tiiuae/falcon-7b-instruct,voting,0.5805882
storytelling,huggingface/tiiuae/falcon-7b-instruct,voting,0.560163
storytelling,huggingface/tiiuae/falcon-7b-instruct,voting,0.7568363
storytelling,huggingface/tiiuae/falcon-7b-instruct,voting,0.58895576
storytelling,huggingface/tiiuae/falcon-7b-instruct,voting,0.44912568
